Posted Date,Category,Payee,Address,Amount
07/14/2022,Restaurants,JERSEY MIKE,LONDON UK,-47.00
07/14/2022,Misc,SPORT CLIPS,LONDON UK,-29.00
07/11/2022,Groceries,ALDI LONDON UK,LONDON UK,-44.00
07/08/2022,Restaurants,PIZZA MARSALA - 412-374-7474 ,LONDON UK,-18.00
07/08/2022,Misc,Assoc for Edu Comm & Tech877-677-2328 ,LONDON UK,-40.00
07/05/2022,Entertainment,CNK*CINEMARK.COM 1065 800-246-3627,LONDON UK,-35.00
07/04/2022,Groceries,ALDI 69048 LONDON UK,LONDON UK,-17.00
07/04/2022,Restaurants,BREWBURG USA LONDON UK,LONDON UK,-44.00
07/02/2022,Restaurants,SAGA JAPANESE STEAKHOUSE LONDON UK,LONDON UK,-51.00
06/30/2022,Misc,BA ELECTRONIC PAYMENT,,250
